Timestamp,Symbol,Side,Confidence,Price,Quantity
2025-04-18 07:57:56.371962,BNBUSDT,BUY,93.76%,590.6,0.085
2025-04-18 16:53:42.901035,ETHUSDT,BUY,94.72%,1593.08,0.0314
2025-04-18 16:53:44.836392,XRPUSDT,BUY,88.96%,2.0836,24.0
2025-04-18 17:23:48.591836,ETHUSDT,SELL,99.60%,1590.79,0.0314
2025-04-18 18:00:00.712288,TRUMPUSDT,BUY,97.85%,7.74,2.584,exploratory
2025-04-18 18:13:47.386913,XRPUSDT,SELL,100.00%,2.0773,24.0,core
2025-04-18 18:13:52.916921,TAOUSDT,BUY,93.01%,265.9,0.0752,exploratory
2025-04-18 18:24:37.117104,SHIBUSDT,BUY,88.75%,1.209e-05,4135649.0,core
2025-04-18 18:34:28.490100,TRUMPUSDT,SELL,100.00%,7.73,2.581,exploratory
2025-04-18 18:34:30.654212,TAOUSDT,SELL,99.67%,264.3,0.0751,exploratory
2025-04-18 18:39:36.118664,SHIBUSDT,SELL,100.00%,1.207e-05,4131513.0,core
2025-04-18 19:32:07.988367,PEPEUSDT,BUY,88.76%,7.19e-06,2781641.0,core
2025-04-18 19:37:16.695504,SHIBUSDT,BUY,97.37%,1.205e-05,1659751.0,core
2025-04-18 20:02:54.854112,SHIBUSDT,SELL,99.60%,1.213e-05,1658091.0,core
2025-04-18 20:02:57.078063,PEPEUSDT,SELL,99.60%,7.18e-06,2778859.0,core
2025-04-18 20:49:07.538123,ADAUSDT,BUY,95.45%,0.6181,32.4,core
2025-04-18 20:54:17.616127,SHIBUSDT,BUY,93.16%,1.214e-05,1647446.0,core
2025-04-18 20:59:25.918797,TONUSDT,BUY,89.43%,3.0,6.67,core
2025-04-18 21:04:36.412827,TONUSDT,SELL,98.65%,3.001,6.66,core
2025-04-18 21:04:38.764679,SHIBUSDT,SELL,98.88%,1.218e-05,1645799.0,core
2025-04-18 21:32:51.397376,OMUSDT,BUY,82.53%,0.6932,28.9,discovered
2025-04-18 21:38:00.405548,DOGEUSDT,BUY,98.32%,0.15695,127.0,core
2025-04-18 21:47:27.732013,SHIBUSDT,BUY,96.58%,1.23e-05,1626016.0,core
2025-04-18 22:02:49.422409,ADAUSDT,SELL,98.90%,0.6261,32.2,core
2025-04-18 22:02:52.838679,DOGEUSDT,SELL,99.63%,0.15749,126.0,core
2025-04-18 22:02:54.812065,SHIBUSDT,SELL,98.97%,1.231e-05,1617886.0,core
2025-04-18 22:02:57.901142,OMUSDT,SELL,99.65%,0.6719,28.8,core
2025-04-18 22:33:39.154212,XRPUSDT,BUY,95.92%,2.0847,9.6,core
2025-04-18 22:33:42.099243,SHIBUSDT,BUY,95.87%,1.242e-05,1610306.0,core
2025-04-18 22:49:04.637468,DOGEUSDT,BUY,98.29%,0.1581,127.0,core
2025-04-18 23:04:28.478298,DOGEUSDT,SELL,100.00%,0.15812,126.0,core
2025-04-18 23:04:30.488271,SHIBUSDT,SELL,99.69%,1.236e-05,1602254.0,core
2025-04-18 23:35:24.032351,MEMEUSDT,BUY,95.45%,0.001859,10758.0,core
2025-04-19 00:01:08.124833,MEMEUSDT,SELL,99.63%,0.001917,10704.0,core
2025-04-19 01:39:34.901586,XRPUSDT,SELL,100.00%,2.0802,9.5,core
